ISO3,Country,Population,ForestArea_km2
MRT,Mauritania,5022441,3073.7
MSR,Montserrat,,
MTQ,Martinique,,
MUS,Mauritius,1248647,388.1
MWI,Malawi,21104482,21997
MYS,Malaysia,35126298,190638.9
NAM,Namibia,2963095,65678.9
NCL,New Caledonia,289870,8379.2
NER,Niger,26159867,10672.8
NFK,Norfolk Island,,
NGA,Nigeria,227882945,214636.5
NIC,Nicaragua,6823613,33075.3
NIU,Niue,,
NLD,Netherlands (Kingdom of the),17877117,3704.4
NOR,Norway,5519601,121878
NPL,Nepal,29694614,59620.3
NRU,Nauru,11875,0
NZL,New Zealand,5200000,99085.3
OMN,Oman,5049269,24.3
PAK,Pakistan,247504495,36845.6
PAN,Panama,4458759,42024.2
PER,Peru,33845617,721575.3
PHL,Philippines,114891199,72234.8
PLW,Palau,17727,414.9
PNG,Papua New Guinea,10389635,358222.3
POL,Poland,36687353,94950
PRK,s Republic of Korea,26418204,60090
PRT,Portugal,10578174,33120
PRY,Paraguay,6844146,158229.3
PSE,Palestine,5165775,101.4
PYF,French Polynesia,281118,1494.6
QAT,Qatar,2656032,0
REU,Réunion,,
ROU,Romania,19061062,69290.5
RUS,Russian Federation,143826130,8153120
RWA,Rwanda,13954471,2770
SAU,Saudi Arabia,33702731,9770
SCG,Serbia and Montenegro,,
SDN,Sudan,50042791,181870
SEN,Senegal,18077573,80281.6
SGP,Singapore,5917648,153.9
SHN,"Ascension, Saint Helena and Tristan da Cunha",,
SLB,Solomon Islands,800005,25222.4
SLE,Sierra Leone,8460512,25151.5
SLV,El Salvador,6309624,5793.8
SOM,Somalia,18358615,59032.5
SPM,Saint Pierre and Miquelon,,
SRB,Serbia,6623183,27229.4
SSD,South Sudan,11483374,71570
STP,Sao Tome and Principe,230871,512.8
SUR,Suriname,628886,151840.4
SVK,Slovakia,5426740,19259
SVN,Slovenia,2120461,12357.9
SWE,Sweden,10536632,279800
SWZ,Eswatini,1230506,4987.7
SYC,Seychelles,119773,337
SYR,Syrian Arab Republic,23594623,5220.8
TCD,Chad,19319064,42013.3
TGO,Togo,9304337,12063.1
THA,Thailand,71702435,198370
TJK,Tajikistan,10389799,4248
TKL,Tokelau,,
TKM,Turkmenistan,7364438,41270
TLS,Timor-Leste,1384286,9197
TON,Tonga,104597,89.5
TTO,Trinidad and Tobago,1367510,2277.7
TUN,Tunisia,12200431,7042.6
TUR,Türkiye,85325965,223763.6
TUV,Tuvalu,9816,10
TWN,"China, Taiwan Province of",23420000,21840.0
TZA,United Republic of Tanzania,66617606,452760
UGA,Uganda,48656601,22966.4
UKR,Ukraine,37732836,96960
URY,Uruguay,3388081,20520
USA,United States of America,336806231,3097950
UZB,Uzbekistan,35652307,37155
VCT,Saint Vincent and the Grenadines,101323,285.4
VEN,Venezuela (Bolivarian Republic of),28300854,461733.6
VGB,British Virgin Islands,38985,36.2
VNM,Viet Nam,100352192,147189.9
VUT,Vanuatu,320409,4423
WLF,Wallis and Futuna Islands,,
WSM,Samoa,216663,1611.9
YEM,Yemen,39390799,5490
ZAF,South Africa,63212384,170136.9
ZMB,Zambia,20723965,446258.1
ZWE,Zimbabwe,16340822,173985.1
